date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:38	372/372	---M--	200	added ('OK')	text/plain	etag:W/%22174-mF4BWQMNvlqy+3R3zHqs6P+jcYE%22	https://www.ridgebotics.com/robots.txt		(from )
17:08:38	413686/413686	---MCZ	200	added ('OK')	text/html	etag:W/%22777603c47a8c5ee56de822632fa17f12%22	https://www.ridgebotics.com/	/home/connor/websites/rige2/www.ridgebotics.com/index.html	(from )
17:08:38	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22b53ce85a6cce2ae00037a6ca13c90866%22	https://static.parastorage.com/client/pfavico.ico	/home/connor/websites/rige2/static.parastorage.com/client/pfavico.ico	(from https://www.ridgebotics.com/)
17:08:40	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/home/connor/websites/rige2/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.ridgebotics.com/)
17:08:40	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/home/connor/websites/rige2/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.ridgebotics.com/)
17:08:42	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202023%2017:58:33%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	/home/connor/websites/rige2/polyfill.io/v3/polyfill.mind82c.js	(from https://www.ridgebotics.com/)
17:08:43	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	/home/connor/websites/rige2/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.ridgebotics.com/)
17:08:43	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2000:08:44%20GMT	https://www.ridgebotics.com/decodeURIComponent(e	/home/connor/websites/rige2/www.ridgebotics.com/decodeURIComponent(e	(from https://www.ridgebotics.com/)
17:08:44	247/247	---M--	200	added ('OK')	text/xml	etag:W/%22f7-2LcqwnP1oaWwLdvrX6lzKB7VQT4%22	https://www.ridgebotics.com/sitemap.xml	/home/connor/websites/rige2/www.ridgebotics.com/sitemap.xml	(from https://www.ridgebotics.com/)
17:08:45	2865/2865	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2000:08:46%20GMT	https://www.ridgebotics.com/feed.xml	/home/connor/websites/rige2/www.ridgebotics.com/feed.xml	(from https://www.ridgebotics.com/)
17:08:47	84063/84063	---M-Z	200	added ('OK')	application/javascript	etag:W/%2225ad60310aaad09ee212a552d3148abb%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.3abcee26.bundle.min.js	/home/connor/websites/rige2/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.3abcee26.bundle.min.js	(from https://www.ridgebotics.com/)
17:08:48	173465/173465	---M-Z	200	added ('OK')	application/javascript	etag:W/%22637c06afd4d7f8e240f6dd449a3fccdb%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.215e4927.bundle.min.js	/home/connor/websites/rige2/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.215e4927.bundle.min.js	(from https://www.ridgebotics.com/)
17:08:49	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	/home/connor/websites/rige2/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.ridgebotics.com/)
17:08:49	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	/home/connor/websites/rige2/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.ridgebotics.com/)
17:08:50	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	/home/connor/websites/rige2/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://www.ridgebotics.com/)
17:08:51	28540/28540	---M-Z	200	added ('OK')	application/javascript	etag:W/%221a43b92000b13afb468cf1e405fa25db%22	https://static.parastorage.com/services/wix-perf-measure/1.1051.0/wix-perf-measure.umd.min.js	/home/connor/websites/rige2/static.parastorage.com/services/wix-perf-measure/1.1051.0/wix-perf-measure.umd.min.js	(from https://www.ridgebotics.com/)
17:08:53	79901/79901	---M--	200	added ('OK')	image/svg+xml	etag:%22aed7a3e8d09a7c8baa80bcbc56d34345-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/05ad458f-263b-413f-b054-6001a987ff3e.svg	/home/connor/websites/rige2/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/05ad458f-263b-413f-b054-6001a987ff3e.svg	(from https://www.ridgebotics.com/)
17:08:54	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	/home/connor/websites/rige2/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.ridgebotics.com/)
17:08:55	164754/164754	---M--	200	added ('OK')	image/svg+xml	etag:%22f8a6d31881b05647b240095b837e0f3e-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/92c941ea-2b06-4b72-9165-17476d424d6c.svg	/home/connor/websites/rige2/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/92c941ea-2b06-4b72-9165-17476d424d6c.svg	(from https://www.ridgebotics.com/)
17:08:56	179298/179298	---M--	200	added ('OK')	image/svg+xml	etag:%22b961e89565c884c0ee40470d54da0215-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d1b1e866-a411-42ba-8f75-72bf28e23694.svg	/home/connor/websites/rige2/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d1b1e866-a411-42ba-8f75-72bf28e23694.svg	(from https://www.ridgebotics.com/)
17:08:58	259290/259290	---M--	200	added ('OK')	image/svg+xml	etag:%22e9213b145b8ed87faa24abe1eef5a22d-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/9f774d17-c03a-418e-a375-34f3beecbc7a.svg	/home/connor/websites/rige2/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/9f774d17-c03a-418e-a375-34f3beecbc7a.svg	(from https://www.ridgebotics.com/)
17:08:59	135753/135753	---M--	200	added ('OK')	image/svg+xml	etag:%223d8f44f8cec3568bb6291d1eb57f0287-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/58ae9be9-5d95-44b6-8b6c-e6da6a46822c.svg	/home/connor/websites/rige2/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/58ae9be9-5d95-44b6-8b6c-e6da6a46822c.svg	(from https://www.ridgebotics.com/)
17:08:59	380411/380411	---MCZ	200	added ('OK')	text/html	etag:W/%2262f69902107dfff812f44388057cadd9%22	https://www.ridgebotics.com/upcoming-events	/home/connor/websites/rige2/www.ridgebotics.com/upcoming-events.html	(from https://www.ridgebotics.com/)
17:08:59	393487/393487	---MCZ	200	added ('OK')	text/html	etag:W/%2251b643989c87019566981bc5430dc804%22	https://www.ridgebotics.com/ourteam	/home/connor/websites/rige2/www.ridgebotics.com/ourteam.html	(from https://www.ridgebotics.com/)
17:09:02	433412/433412	---MCZ	200	added ('OK')	text/html	etag:W/%2247d45a8ba02533eca57f636f8ffd70c4%22	https://www.ridgebotics.com/robots	/home/connor/websites/rige2/www.ridgebotics.com/robots.html	(from https://www.ridgebotics.com/)
17:09:02	419244/419244	---MCZ	200	added ('OK')	text/html	etag:W/%2251d9be50935305f0facf8b54889dff5b%22	https://www.ridgebotics.com/leadership	/home/connor/websites/rige2/www.ridgebotics.com/leadership.html	(from https://www.ridgebotics.com/)
17:09:05	429109/429109	---MCZ	200	added ('OK')	text/html	etag:W/%2260ffc73d2a71d0ba538b4384bb37ca6b%22	https://www.ridgebotics.com/gallery	/home/connor/websites/rige2/www.ridgebotics.com/gallery.html	(from https://www.ridgebotics.com/)
17:09:05	378694/378694	---MCZ	200	added ('OK')	text/html	etag:W/%221da63599d36ed28e7cd2732d473f8c3d%22	https://www.ridgebotics.com/copy-of-2022-rapid-react	/home/connor/websites/rige2/www.ridgebotics.com/copy-of-2022-rapid-react.html	(from https://www.ridgebotics.com/)
17:09:05	386112/386112	---MCZ	200	added ('OK')	text/html	etag:W/%22e3bdfca916e5a1e3082d1dd306732b8b%22	https://www.ridgebotics.com/copy-of-2021-infinite-recharge-at-home	/home/connor/websites/rige2/www.ridgebotics.com/copy-of-2021-infinite-recharge-at-home.html	(from https://www.ridgebotics.com/)
17:09:09	392493/392493	---MCZ	200	added ('OK')	text/html	etag:W/%2290ba72ea59b73a8fd76ad5a0c90cf4bf%22	https://www.ridgebotics.com/2020-infinte-recharge	/home/connor/websites/rige2/www.ridgebotics.com/2020-infinte-recharge.html	(from https://www.ridgebotics.com/)
17:09:09	380754/380754	---MCZ	200	added ('OK')	text/html	etag:W/%22685da331944a70c35a8e62fed17008d5%22	https://www.ridgebotics.com/copy-of-2020-infinte-recharge	/home/connor/websites/rige2/www.ridgebotics.com/copy-of-2020-infinte-recharge.html	(from https://www.ridgebotics.com/)
17:09:11	386221/386221	---MCZ	200	added ('OK')	text/html	etag:W/%2286eb6ce0838172245c571fcf16a37458%22	https://www.ridgebotics.com/2019-deep-space	/home/connor/websites/rige2/www.ridgebotics.com/2019-deep-space.html	(from https://www.ridgebotics.com/)
17:09:12	591334/591334	---MCZ	200	added ('OK')	text/html	etag:W/%22ad9ffd0fe45d79821aaf01391529a3fe%22	https://www.ridgebotics.com/2018powerup	/home/connor/websites/rige2/www.ridgebotics.com/2018powerup.html	(from https://www.ridgebotics.com/)
17:09:13	376248/376248	---MCZ	200	added ('OK')	text/html	etag:W/%22cc4b7b69c20ac22f1abefa2e02b9b3b6%22	https://www.ridgebotics.com/2016stronghold	/home/connor/websites/rige2/www.ridgebotics.com/2016stronghold.html	(from https://www.ridgebotics.com/)
17:09:14	641921/641921	---MCZ	200	added ('OK')	text/html	etag:W/%22c010053446f90b55118c4bdea5af07ce%22	https://www.ridgebotics.com/2017steamworks	/home/connor/websites/rige2/www.ridgebotics.com/2017steamworks.html	(from https://www.ridgebotics.com/)
17:09:16	389334/389334	---MCZ	200	added ('OK')	text/html	etag:W/%2293dbf2f926955c84b5c2fa5b417696dc%22	https://www.ridgebotics.com/2015recyclerush	/home/connor/websites/rige2/www.ridgebotics.com/2015recyclerush.html	(from https://www.ridgebotics.com/)
17:09:16	377478/377478	---MCZ	200	added ('OK')	text/html	etag:W/%229d26b97b8a2b0b98ef2b9eab96a69097%22	https://www.ridgebotics.com/2014aerialassist	/home/connor/websites/rige2/www.ridgebotics.com/2014aerialassist.html	(from https://www.ridgebotics.com/)
17:09:19	376551/376551	---MCZ	200	added ('OK')	text/html	etag:W/%228a2f888fa5e561ae4e405cbab5916bf3%22	https://www.ridgebotics.com/2012reboundrumble	/home/connor/websites/rige2/www.ridgebotics.com/2012reboundrumble.html	(from https://www.ridgebotics.com/)
17:09:19	388566/388566	---MCZ	200	added ('OK')	text/html	etag:W/%22c99c81dfacb06de43ee68cabb34ee35e%22	https://www.ridgebotics.com/2013-ultimate-ascent	/home/connor/websites/rige2/www.ridgebotics.com/2013-ultimate-ascent.html	(from https://www.ridgebotics.com/)
17:09:21	440693/440693	---MCZ	200	added ('OK')	text/html	etag:W/%2296f40bde93ae2199f98087469741d40a%22	https://www.ridgebotics.com/activity-log	/home/connor/websites/rige2/www.ridgebotics.com/activity-log.html	(from https://www.ridgebotics.com/)
